,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,region
0,Q316119,Gnaeus Pompeius Trogus,re_latin,Latin World,-100.0,historian,antiquity,re_latin
1,Q782074,Claudianus Mamertus,re_latin,Latin World,420.0,theologian | philosopher,antiquity,re_latin
2,Q182123,Irenaeus,re_latin,Latin World,130.0,theologian | philosopher,antiquity,re_latin
3,Q44344,Hilary of Poitiers,re_latin,Latin World,315.0,theologian | philosopher,antiquity,re_latin
4,Q1430,Marcus Aurelius,re_latin,Latin World,121.0,philosopher,antiquity,re_latin
5,Q313795,John Cassian,re_latin,Latin World,360.0,theologian,antiquity,re_latin
6,Q50082878,Jess Wade,re_latin,Latin World,2.0,physicist,antiquity,re_latin
7,Q723645,Victorius of Aquitaine,re_latin,Latin World,450.0,astronomer | mathematician,antiquity,re_latin
8,Q209102,Lactantius,re_latin,Latin World,250.0,philosopher | historian,antiquity,re_latin
9,Q2891791,Latinius Pacatus Drepanius,re_latin,Latin World,400.0,historian,antiquity,re_latin
10,Q2161,Tacitus,re_latin,Latin World,54.0,philosopher | historian,antiquity,re_latin
11,Q885870,Victorinus Junior,re_latin,Latin World,300.0,historian,antiquity,re_latin
12,Q239448,Pompeia Plotina,re_latin,Latin World,70.0,philosopher,antiquity,re_latin
13,Q532684,Salvian,re_latin,Latin World,400.0,theologian | historian,antiquity,re_latin
14,Q336704,Sulpicius Severus,re_latin,Latin World,360.0,historian,antiquity,re_latin
15,Q297515,Pomponius Mela,re_latin,Latin World,15.0,geographer | historian,antiquity,re_latin
16,Q188646,Lucan,re_latin,Latin World,39.0,historian,antiquity,re_latin
17,Q535060,Terentianus,re_latin,Latin World,150.0,linguist,antiquity,re_latin
18,Q10133,Suetonius,re_latin,Latin World,70.0,historian,antiquity,re_latin
19,Q109998607,Tommaso Massarini,re_latin,Latin World,18.0,historian,antiquity,re_latin
20,Q656891,Arulenus Rusticus,re_latin,Latin World,35.0,philosopher,antiquity,re_latin
21,Q207113,Hippolytus,re_latin,Latin World,170.0,theologian,antiquity,re_latin
22,Q755297,Athenaeus Mechanicus,re_latin,Latin World,-199.0,philosopher | mathematician,antiquity,re_latin
23,Q74243,Marcus Cluvius Rufus,re_latin,Latin World,50.0,historian,antiquity,re_latin
24,Q506540,Didymus Chalcenterus,re_latin,Latin World,-62.0,linguist,antiquity,re_latin
25,Q248733,Eusebius of Myndus,re_latin,Latin World,300.0,philosopher,antiquity,re_latin
27,Q708247,Gaius Marius Victorinus,re_latin,Latin World,290.0,theologian | philosopher,antiquity,re_latin
28,Q134189,Plotinus,re_latin,Latin World,205.0,philosopher,antiquity,re_latin
29,Q594441,Publius Clodius Thrasea Paetus,re_latin,Latin World,100.0,philosopher,antiquity,re_latin
30,Q706319,Marinus of Tyre,re_latin,Latin World,100.0,geographer | mathematician,antiquity,re_latin
31,Q82778,Pliny the Elder,re_latin,Latin World,20.0,philosopher | historian | anatomist,antiquity,re_latin
32,Q298376,Gaius Julius Hyginus,re_latin,Latin World,-63.0,astronomer,antiquity,re_latin
33,Q447741,Lucius Calbenus Taurus,re_latin,Latin World,150.0,philosopher,antiquity,re_latin
34,Q758060,Atticus,re_latin,Latin World,150.0,philosopher,antiquity,re_latin
35,Q670317,Gaius Oppius,re_latin,Latin World,-100.0,historian,antiquity,re_latin
36,Q248969,Sopater of Apamea,re_latin,Latin World,242.0,philosopher,antiquity,re_latin
37,Q1164993,Marcus Junius Congus Gracchanus,re_latin,Latin World,-200.0,historian,antiquity,re_latin
38,Q1385296,Quintus Sextius,re_latin,Latin World,-50.0,philosopher,antiquity,re_latin
39,Q365835,Tyrannius Rufinus,re_latin,Latin World,345.0,theologian,antiquity,re_latin
40,Q3624758,Marcus Actorius Naso,re_latin,Latin World,-100.0,historian,antiquity,re_latin
41,Q1376509,Sulpicius Alexander,re_latin,Latin World,400.0,historian,antiquity,re_latin
42,Q174929,Tertullian,re_latin,Latin World,160.0,theologian | philosopher,antiquity,re_latin
43,Q210853,Justin,re_latin,Latin World,101.0,historian,antiquity,re_latin
44,Q1390986,Helvidius Priscus,re_latin,Latin World,50.0,philosopher,antiquity,re_latin
45,Q311733,Titus Pomponius Atticus,re_latin,Latin World,-109.0,philosopher,antiquity,re_latin
46,Q2312613,Flavius Lucius Dexter,re_latin,Latin World,400.0,historian,antiquity,re_latin
47,Q782401,Sallustius,re_latin,Latin World,400.0,philosopher,antiquity,re_latin
48,Q443278,Antonia Gordiana,re_latin,Latin World,201.0,historian,antiquity,re_latin
49,Q294800,Aulus Gellius,re_latin,Latin World,130.0,philosopher,antiquity,re_latin
50,Q44170,Ignatius of Antioch,re_latin,Latin World,35.0,theologian,antiquity,re_latin
51,Q2054,Seneca,re_latin,Latin World,-4.0,philosopher,antiquity,re_latin
52,Q1237555,Aulus Egnatius Priscillianus,re_latin,Latin World,135.0,philosopher,antiquity,re_latin
53,Q273671,Seneca the Elder,re_latin,Latin World,-53.0,philosopher | historian,antiquity,re_latin
54,Q947576,Valerius Antias,re_latin,Latin World,-200.0,historian,antiquity,re_latin
55,Q11923560,Gaius Fannius,re_latin,Latin World,100.0,historian,antiquity,re_latin
56,Q26204,Dionysius of Halicarnassus,re_latin,Latin World,-59.0,historian,antiquity,re_latin
57,Q741160,Lucius Ampelius,re_latin,Latin World,150.0,historian,antiquity,re_latin
58,Q290471,Moderatus of Gades,re_latin,Latin World,50.0,philosopher,antiquity,re_latin
59,Q223615,Flavius Caper,re_latin,Latin World,150.0,linguist,antiquity,re_latin
60,Q727792,Lucius Arruntius the Elder,re_latin,Latin World,-100.0,historian,antiquity,re_latin
61,Q106026,Arius,re_latin,Latin World,250.0,theologian,antiquity,re_latin
62,Q319273,Gaius Asinius Pollio,re_latin,Latin World,-74.0,historian,antiquity,re_latin
63,Q759760,Aufidius Bassus,re_latin,Latin World,-50.0,historian,antiquity,re_latin
64,Q966315,Virius Nicomachus Flavianus,re_latin,Latin World,400.0,historian,antiquity,re_latin
65,Q682860,Julius Obsequens,re_latin,Latin World,400.0,historian,antiquity,re_latin
66,Q669971,Trebellius Pollio,re_latin,Latin World,250.0,historian,antiquity,re_latin
67,Q252841,Seleucus,re_latin,Latin World,200.0,historian,antiquity,re_latin
68,Q1391069,Rabbi Ishmael,re_latin,Latin World,70.0,philosopher,antiquity,re_latin
69,Q897734,Lucius Lucceius,re_latin,Latin World,-105.0,historian,antiquity,re_latin
70,Q190240,Cyprian,re_latin,Latin World,200.0,philosopher,antiquity,re_latin
71,Q313782,Aelian,re_latin,Latin World,200.0,zoologist | historian,antiquity,re_latin
72,Q1271013,Adrian of Tyre,re_latin,Latin World,113.0,philosopher,antiquity,re_latin
73,Q1084333,Flavius Sallustius,re_latin,Latin World,350.0,philosopher,antiquity,re_latin
74,Q313924,Nicolaus of Damascus,re_latin,Latin World,-63.0,philosopher | historian,antiquity,re_latin
75,Q563283,Gaius Asinius Quadratus,re_latin,Latin World,200.0,historian,antiquity,re_latin
76,Q1541,Cicero,re_latin,Latin World,-106.0,philosopher,antiquity,re_latin
77,Q192931,Pausanias,re_latin,Latin World,115.0,geographer | historian,antiquity,re_latin
78,Q175042,Nigidius Figulus,re_latin,Latin World,-97.0,philosopher,antiquity,re_latin
79,Q335309,Aulus Claudius Charax,re_latin,Latin World,150.0,historian,antiquity,re_latin
80,Q12285191,Lucius Aemilius Juncus,re_latin,Latin World,100.0,philosopher,antiquity,re_latin
81,Q1025379,Caelestius,re_latin,Latin World,380.0,theologian,antiquity,re_latin
82,Q2335606,Pierius,re_latin,Latin World,201.0,philosopher,antiquity,re_latin
83,Q772773,Antonius Musa,re_latin,Latin World,-62.0,botanist,antiquity,re_latin
84,Q255448,Porcia,re_latin,Latin World,-100.0,philosopher,antiquity,re_latin
85,Q316098,Marcus Velleius Paterculus,re_latin,Latin World,-18.0,historian,antiquity,re_latin
86,Q451550,Philodemus,re_latin,Latin World,-109.0,philosopher,antiquity,re_latin
